seller_state,product_id,product_category_name,receita_total,product_category_name
CE,88821a8093b316b2679fd44c828a31c2,cama_mesa_banho,30.0,cama_mesa_banho
DF,0b3c2ee3c7994b5b9ebdddb2372d6f9c,cama_mesa_banho,129.8,cama_mesa_banho
DF,1c86a1539e8f7551ac5c09a15b6a3c88,cama_mesa_banho,64.9,cama_mesa_banho
DF,1dd85d42702d499bdccd33e6e3227a61,cama_mesa_banho,54.9,cama_mesa_banho
DF,23227b07fc69250d2fa4be6602011aea,cama_mesa_banho,519.2,cama_mesa_banho
DF,24c0de23191c9450049b2b3d8749ad35,cama_mesa_banho,211.6,cama_mesa_banho
DF,3ddc79cbdf7e79ea75449765656c3b3e,cama_mesa_banho,64.9,cama_mesa_banho
DF,3e6ccb382c617b7e07b5865257f8bdec,cama_mesa_banho,64.9,cama_mesa_banho
DF,3f24e35922fa51c0626c7c51d2f3a9a4,cama_mesa_banho,129.8,cama_mesa_banho
DF,6180d1972499e39b4313fce108e75a8d,cama_mesa_banho,64.9,cama_mesa_banho
DF,70d57e1031cc2064017c1dadbb672a1b,cama_mesa_banho,64.9,cama_mesa_banho
DF,74292882eb4c7736c0fff087e62768f8,cama_mesa_banho,64.9,cama_mesa_banho
DF,7c78931da71b756d23d98d0e53e01fb0,cama_mesa_banho,129.8,cama_mesa_banho
DF,7db0be610d29a1eef23666fd3da04544,cama_mesa_banho,64.9,cama_mesa_banho
DF,8751413c85ce4cea7d99f15ee76d76c7,cama_mesa_banho,129.8,cama_mesa_banho
DF,879257cf953f931693a39f7b492967dd,cama_mesa_banho,129.8,cama_mesa_banho
DF,9f01cb375b4185be6cb9d2f7588c5b46,cama_mesa_banho,64.9,cama_mesa_banho
DF,a3f39453cb3bacd60e3828f50a2c9c23,cama_mesa_banho,64.9,cama_mesa_banho
DF,ce130b350f529a1d6288f927da7404ea,cama_mesa_banho,259.6,cama_mesa_banho
DF,dbb0815bfd0515cd3de42dfbc33c8252,cama_mesa_banho,51.9,cama_mesa_banho
GO,049ac5dce8536884a652ce73c58022ab,cama_mesa_banho,34.9,cama_mesa_banho
GO,230aa1590e1e7bc88252d8f1649109c2,cama_mesa_banho,203.0,cama_mesa_banho
GO,2ca577417c24f9ac43a02a55de095d32,cama_mesa_banho,91.0,cama_mesa_banho
GO,42e81d5b55c06ce473ee24c7e5d1d1f4,cama_mesa_banho,149.0,cama_mesa_banho
GO,531e80cf1d0a71c020c1814e474a2045,cama_mesa_banho,350.0,cama_mesa_banho
GO,60a8d8f0434c4531bf310eebf9f19cfe,cama_mesa_banho,174.0,cama_mesa_banho
GO,72030f5a9528ee708f8d865fee65b29b,cama_mesa_banho,115.0,cama_mesa_banho
GO,82171fcb587a3c4da7db45e5b6527a3e,cama_mesa_banho,10.95,cama_mesa_banho
GO,86332b1229c41aeb4ab9d85472de3ed9,cama_mesa_banho,260.0,cama_mesa_banho
GO,9189120c49a57ffcfda405b431d732f8,cama_mesa_banho,98.0,cama_mesa_banho
GO,a58d73d571793d350bfd31a624416f2d,cama_mesa_banho,210.0,cama_mesa_banho
GO,cb80d84cdedee288c467491ed98f5e1f,cama_mesa_banho,235.0,cama_mesa_banho
GO,ced87016b816472a7e668e311d127ae0,cama_mesa_banho,520.0,cama_mesa_banho
